Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
100001,0,0,2.418,23.31,0,0,1,True,8.13,5,0,6,2.393,86.44,0
100002,1,1,3.821,1.12,1,1,5,False,16.65,3,0,9,3.696,69.39,1
100003,2,2,3.398,21.26,2,0,2,False,10.35,5,1,9,3.499,73.93,2
100004,2,0,3.789,1.82,0,2,4,False,15.23,2,0,2,4.0,63.58,2
100005,3,3,3.635,9.29,3,1,4,False,12.55,4,0,4,3.798,100.0,2
100006,3,1,3.449,6.5,3,0,1,False,14.19,4,0,5,3.666,65.92,0
100007,3,2,3.622,31.41,2,1,5,True,13.11,8,0,7,4.0,67.97,2
100008,4,1,2.746,5.33,0,2,3,False,18.45,2,2,1,2.965,85.09,2
100009,2,3,3.42,2.0,3,0,2,True,2.87,1,1,5,3.396,55.71,2
100010,2,3,3.046,19.99,3,2,2,True,12.49,3,1,8,2.978,87.18,0
100011,3,4,3.407,5.16,2,1,3,False,11.43,5,0,3,3.617,95.42,0
100012,1,1,2.627,3.62,4,2,3,False,8.05,3,2,3,2.699,72.41,2
100013,4,0,3.479,2.86,0,0,2,False,8.95,2,2,4,3.612,67.68,0
100014,3,1,3.225,8.95,4,0,1,False,25.3,2,0,3,3.935,64.47,2
100015,3,2,3.202,1.22,0,0,1,False,16.52,2,0,4,3.122,70.7,1
100016,3,0,2.076,14.74,3,0,1,True,12.59,4,0,4,2.228,70.66,2
100017,0,3,2.931,2.08,4,1,3,False,15.15,5,1,8,3.214,59.69,2
100018,2,0,3.156,8.03,4,1,4,False,10.7,4,0,5,3.39,90.65,2
100019,0,1,2.975,0.51,2,0,1,False,10.84,1,0,2,3.412,53.95,2
100020,3,3,3.305,0.2,3,2,4,False,3.69,1,0,4,3.187,74.23,2
100021,2,3,2.636,1.63,0,2,4,False,18.71,4,1,3,2.758,78.28,1
100022,3,0,3.529,4.91,3,0,1,False,15.78,2,0,6,3.358,67.56,1
100023,3,1,3.551,10.48,0,2,2,True,2.75,2,0,3,3.749,68.81,2
100024,0,0,3.579,0.45,1,0,1,True,10.61,1,0,8,3.76,55.33,1
100025,0,2,2.364,28.72,0,0,1,False,8.24,8,1,7,2.588,63.38,2
100026,4,0,3.308,2.38,1,1,4,True,11.33,2,2,2,4.0,81.85,0
100027,3,3,3.338,18.62,3,1,5,True,14.29,6,0,2,3.822,82.36,2
100028,2,1,3.302,23.96,1,2,2,True,6.54,5,0,1,3.487,67.74,0
100029,2,2,3.282,0.68,1,0,1,False,17.89,1,2,4,3.088,74.67,1
100030,3,3,3.638,12.83,3,1,4,True,10.25,5,0,4,4.0,61.29,2
100031,2,0,3.731,1.26,4,2,4,True,16.16,2,0,6,3.989,88.44,1
100032,3,3,1.449,0.72,3,2,2,False,11.77,5,0,5,1.342,56.81,2
100033,3,4,2.856,1.27,4,1,3,False,16.16,3,0,5,3.276,74.03,2
100034,1,0,3.148,5.56,2,2,5,False,9.89,2,0,1,3.335,89.14,2
100035,1,4,3.12,19.92,2,0,2,True,1.0,7,0,3,3.207,67.2,0
100036,4,3,3.632,1.17,4,2,4,True,3.67,2,1,5,3.553,55.89,0
100037,0,2,3.303,0.29,0,1,3,False,7.46,1,0,5,3.145,75.11,1
100038,3,1,3.671,16.77,3,2,3,True,1.0,5,0,4,3.636,96.68,1
100039,2,3,2.403,1.58,1,2,4,True,13.34,1,0,5,2.365,74.3,0
100040,0,1,3.086,4.19,3,2,3,False,10.81,2,2,2,3.452,92.44,2
100041,3,0,2.31,7.17,3,1,3,True,8.95,5,0,8,2.686,84.71,2
100042,0,0,3.539,0.41,2,0,3,True,11.3,1,0,5,3.812,72.05,1
100043,3,2,3.777,8.06,3,0,3,False,8.42,3,0,4,3.909,68.22,2
100044,1,0,3.048,4.67,2,0,3,False,8.21,4,1,4,3.277,79.79,2
100045,3,1,3.013,14.47,3,2,3,False,9.36,4,0,7,3.447,62.75,1
100046,2,1,3.503,6.34,1,2,2,False,21.22,2,1,5,3.942,99.25,1
100047,0,3,3.842,6.26,0,2,1,False,11.84,4,0,3,4.0,76.67,2
100048,2,1,3.511,8.04,4,0,2,True,10.5,2,2,3,3.567,86.73,2
100049,2,0,2.645,8.78,1,2,3,False,5.97,1,1,3,2.884,87.51,0
100050,3,0,3.115,13.39,2,2,2,True,20.87,5,0,4,3.644,83.76,2
100051,1,3,3.577,11.13,2,1,4,True,15.85,3,1,6,4.0,61.2,0
100052,4,0,2.433,11.16,3,0,2,True,12.82,6,2,5,2.903,69.95,0
100053,1,3,2.958,11.36,2,2,3,True,9.52,5,0,6,3.155,59.46,1
100054,1,0,3.732,0.88,1,2,4,True,12.87,4,0,1,3.885,79.82,2
100055,2,1,3.148,0.16,2,0,1,False,15.1,2,0,5,3.393,62.77,2
100056,1,0,3.429,20.48,4,0,2,True,4.24,6,2,2,3.521,63.38,0
100057,3,1,3.837,2.23,1,1,4,True,14.06,4,1,4,3.988,60.88,2
100058,3,3,3.249,9.77,1,1,3,True,17.42,4,0,4,3.342,80.19,2
100059,3,1,3.015,2.7,3,0,2,False,18.28,3,0,4,3.394,83.39,2
100060,0,3,3.167,14.92,2,0,2,False,10.74,2,1,8,3.518,70.28,2
100061,0,3,3.697,6.6,1,1,3,False,10.29,4,1,5,3.914,77.49,1
100062,3,2,3.463,2.47,3,2,3,False,8.94,1,0,1,3.665,60.08,2
100063,4,0,2.164,17.37,0,0,1,False,10.06,6,1,5,2.339,77.44,0
100064,0,2,2.771,7.02,0,2,4,False,13.18,2,0,3,2.896,57.43,1
100065,3,4,3.569,8.2,1,2,1,False,17.15,2,2,4,3.922,75.58,1
100066,2,2,3.074,0.65,1,2,3,True,14.09,3,2,5,3.416,80.16,2
100067,3,4,3.329,6.73,3,2,4,True,15.32,3,0,2,3.702,80.75,2
100068,4,4,3.606,1.1,1,0,2,False,17.55,2,1,3,3.758,60.58,2
100069,3,3,3.645,16.74,4,1,3,True,6.48,4,0,2,3.879,78.14,0
100070,1,4,2.838,9.62,0,0,1,True,7.64,5,0,5,2.951,65.48,1
100071,4,4,3.047,18.86,4,0,1,True,13.19,6,0,7,3.295,53.65,0
100072,3,2,3.117,13.89,0,0,2,False,9.7,8,0,6,3.326,45.39,2
100073,3,4,3.251,9.97,3,1,3,False,6.39,3,2,5,3.687,80.79,1
100074,4,2,2.579,8.72,1,1,3,False,14.07,4,0,3,2.962,63.96,1
100075,2,2,2.919,2.08,4,0,1,False,19.29,5,0,3,3.389,58.03,1
100076,2,1,2.023,5.4,0,0,2,False,13.8,2,0,5,2.468,72.32,2
100077,4,2,2.494,7.29,0,0,3,False,6.21,1,0,7,2.393,78.1,1
100078,3,2,3.631,0.9,3,1,4,True,11.39,1,0,2,3.969,85.55,1
100079,0,4,2.659,8.84,0,2,2,False,16.3,1,0,8,3.21,77.88,0
100080,3,4,2.862,5.01,2,0,3,True,14.7,2,0,1,3.293,76.51,2
100081,4,0,3.274,2.79,0,0,2,True,1.96,2,0,1,3.195,69.29,1
100082,2,1,3.332,8.53,4,0,2,False,12.93,4,1,2,3.421,64.26,1
100083,0,4,3.221,13.97,2,0,1,False,4.38,4,2,4,3.418,75.13,2
100084,3,2,3.414,3.7,3,2,4,False,17.94,2,0,2,3.691,73.6,2
100085,0,4,2.132,8.18,4,1,4,False,12.32,4,2,3,2.354,65.13,1
100086,0,3,3.106,8.23,3,2,3,False,18.91,3,1,3,3.334,81.48,2
100087,2,4,3.033,9.65,1,2,5,True,2.81,2,1,5,3.216,93.82,0
100088,2,0,2.549,13.19,1,0,2,True,11.21,6,0,5,2.855,59.64,2
100089,1,4,3.367,6.51,2,0,3,True,2.53,1,2,2,3.389,79.27,0
100090,0,4,3.544,34.0,3,0,2,False,8.67,6,2,1,3.795,68.8,0
100091,3,4,2.291,7.91,3,2,5,False,14.46,3,2,6,2.75,55.09,2
100092,2,1,2.592,5.87,0,2,5,True,8.39,3,1,2,3.139,65.99,0
100093,4,0,2.561,0.16,3,2,5,False,14.86,3,0,1,2.887,68.77,1
100094,2,0,2.778,12.92,4,2,2,True,9.91,7,2,8,3.17,74.32,2
100095,4,2,3.099,21.32,2,0,2,True,12.78,3,0,4,3.378,76.16,2
100096,0,0,3.773,5.21,0,0,1,False,11.81,1,0,3,3.873,59.56,0
100097,2,2,2.907,3.32,4,2,2,False,8.4,2,2,5,2.993,71.8,2
100098,0,4,2.292,3.02,0,0,2,False,9.14,2,0,3,2.918,66.73,2
100099,3,2,2.016,28.71,3,1,5,True,5.64,6,0,4,2.473,55.74,2
100100,3,4,2.661,11.3,4,1,3,False,11.04,6,0,2,2.754,98.76,0
100101,3,3,3.612,25.83,3,2,3,True,10.46,7,0,6,3.715,62.3,0
100102,2,2,2.038,8.9,3,2,3,True,13.27,6,1,4,1.942,55.12,2
100103,0,4,3.786,3.32,0,0,2,True,10.21,5,0,2,4.0,56.37,2
100104,2,2,3.204,4.77,3,2,2,False,13.78,2,0,4,3.348,85.52,1
100105,1,1,2.076,5.72,0,2,2,True,13.43,2,2,2,2.307,63.93,2
100106,3,0,2.972,9.6,3,2,3,True,8.86,3,0,1,3.234,87.33,2
100107,0,3,2.728,6.37,0,1,3,True,9.82,2,1,1,2.869,84.71,1
100108,4,1,2.133,4.33,4,0,1,False,11.66,2,1,4,2.468,72.83,1
100109,3,0,2.926,0.43,0,2,4,False,19.85,3,0,1,3.321,94.36,1
100110,3,4,2.379,10.28,1,1,4,False,21.84,4,0,2,3.09,96.15,1
